id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano_arquivo
383.0,2017-01-02,segunda-feira,05:20:00,SC,282,457.5,PONTE SERRADA,Ultrapassagem Indevida,Colisão frontal,Com Vítimas Fatais,Amanhecer,Crescente,Nevoeiro/Neblina,Simples,Declive;Reta,Não,4,1,2,1,0,0,3,2,-26.88856454,-51.9942221,SPRF-SC,DEL07-SC,UOP04-DEL07-SC,2017
800.0,2017-01-03,terça-feira,12:30:00,SC,282,410.0,CATANDUVAS,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,1,0,1,0,0,0,1,1,-27.06172456,-51.67005301,SPRF-SC,DEL07-SC,UOP05-DEL07-SC,2017
1086.0,2017-01-04,quarta-feira,09:45:00,SC,282,340.0,CAMPOS NOVOS,Falta de Atenção à Condução,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Sim,1,0,0,0,1,0,0,1,-27.39266901,-51.19575262,SPRF-SC,DEL07-SC,UOP06-DEL07-SC,2017
1181.0,2017-01-05,quinta-feira,07:45:00,SC,282,223.5,LAGES,Condutor Dormindo,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Nublado,Simples,Curva;Aclive,Não,1,0,0,0,1,0,0,1,-27.79878069,-50.3578272,SPRF-SC,DEL05-SC,UOP02-DEL05-SC,2017
1615.0,2017-01-06,sexta-feira,21:10:00,SC,282,511.8,XANXERE,Velocidade Incompatível,Colisão traseira,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,3,0,0,0,2,1,0,3,-26.91591555,-52.48940901,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
2017.0,2017-01-08,domingo,07:25:00,SC,282,530.6,CORDILHEIRA ALTA,Condutor Dormindo,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Nublado,Simples,Curva,Sim,3,0,0,0,2,1,0,3,-26.99594971,-52.62503976,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
2597.0,2017-01-10,terça-feira,11:10:00,SC,282,512.0,XANXERE,Não guardar distância de segurança,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Reta,Não,1,0,1,0,0,0,1,1,-26.90869575,-52.46902943,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
2767.0,2017-01-11,quarta-feira,05:00:00,SC,282,233.3,LAGES,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Curva,Não,1,0,1,0,0,0,1,1,-27.78077164,-50.440979,SPRF-SC,DEL05-SC,UOP02-DEL05-SC,2017
3105.0,2017-01-12,quinta-feira,09:30:00,SC,480,129.1,CHAPECO,Ultrapassagem Indevida,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Aclive,Sim,2,0,0,1,1,0,1,2,-27.04707173,-52.63591111,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
3187.0,2017-01-12,quinta-feira,16:20:00,SC,282,528.1,CORDILHEIRA ALTA,Sinalização da via insuficiente ou inadequada,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Sol,Simples,Curva;Aclive,Sim,4,0,0,0,2,3,0,5,-26.98708615,-52.61052132,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
4215.0,2017-01-15,domingo,21:10:00,SC,282,403.0,CATANDUVAS,Ingestão de Álcool,Colisão frontal,Com Vítimas Fatais,Plena Noite,Decrescente,Céu Claro,Simples,Curva,Sim,3,1,0,1,1,0,1,2,-27.0963,-51.6543,SPRF-SC,DEL07-SC,UOP05-DEL07-SC,2017
4359.0,2017-01-16,segunda-feira,07:45:00,SC,282,270.9,SAO JOSE DO CERRITO,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Reta,Não,5,0,4,0,1,0,4,2,-27.61493045,-50.68931806,SPRF-SC,DEL05-SC,UOP02-DEL05-SC,2017
4449.0,2017-01-16,segunda-feira,18:35:00,SC,282,584.0,PINHALZINHO,Falta de Atenção à Condução,Colisão lateral,Sem Vítimas,Anoitecer,Crescente,Sol,Simples,Curva,Não,2,0,0,0,2,0,0,2,-26.83220783,-53.02206069,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,2017
4610.0,2017-01-17,terça-feira,14:00:00,SC,282,160.0,BOCAINA DO SUL,Ultrapassagem Indevida,Colisão com objeto em movimento,Sem Vítimas,Pleno dia,Decrescente,Sol,Simples,Reta,Não,3,0,0,0,2,1,0,3,-27.74006146,-49.90196228,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2017
5000.0,2017-01-16,segunda-feira,08:00:00,SC,282,45.8,AGUAS MORNAS,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Não,2,0,0,2,0,0,2,2,-27.72101132,-48.92445803,SPRF-SC,DEL01-SC,UOP03-DEL01-SC,2017
5150.0,2017-01-19,quinta-feira,19:35:00,SC,282,532.8,CORDILHEIRA ALTA,Falta de Atenção à Condução,Colisão frontal,Com Vítimas Fatais,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,4,1,0,0,2,1,0,4,-26.99592454,-52.62239009,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
5405.0,2017-01-20,sexta-feira,17:40:00,SC,282,383.0,HERVAL DOESTE,Defeito Mecânico no Veículo,Tombamento,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Declive;Curva,Não,2,1,0,0,0,1,0,2,-27.19517462,-51.50429249,SPRF-SC,DEL07-SC,UOP05-DEL07-SC,2017
5622.0,2017-01-21,sábado,14:30:00,SC,282,520.4,XAXIM,Falta de Atenção à Condução,Tombamento,Sem Vítimas,Pleno dia,Decrescente,Sol,Simples,Aclive;Reta,Sim,2,0,0,0,1,1,0,2,-26.96100742,-52.54690692,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
5736.0,2017-01-21,sábado,16:12:00,SC,282,412.0,CATANDUVAS,Falta de Atenção à Condução,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,2,0,0,1,0,1,1,2,-27.13522964,-51.62612915,SPRF-SC,DEL07-SC,UOP05-DEL07-SC,2017
6066.0,2017-01-23,segunda-feira,02:15:00,SC,282,525.9,XAXIM,Velocidade Incompatível,Colisão frontal,Com Vítimas Fatais,Plena Noite,Decrescente,Céu Claro,Simples,Curva,Não,2,2,0,0,0,0,0,2,-26.976025,-52.58616828,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
6119.0,2017-01-23,segunda-feira,11:00:00,SC,282,576.0,PINHALZINHO,Desobediência às normas de trânsito pelo condutor,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Sol,Simples,Reta,Sim,2,0,0,0,2,0,0,2,-26.86463971,-52.97152519,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,2017
6145.0,2017-01-23,segunda-feira,00:55:00,SC,282,207.0,LAGES,Defeito Mecânico no Veículo,Incêndio,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,0,1,1,0,2,-27.7725,-50.195,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2017
6182.0,2017-01-23,segunda-feira,14:35:00,SC,480,127.1,CHAPECO,Falta de Atenção à Condução,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Múltipla,Aclive,Sim,2,0,0,0,2,0,0,2,-27.02869079,-52.63403356,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
6183.0,2017-01-23,segunda-feira,12:30:00,SC,282,528.0,CORDILHEIRA ALTA,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Curva,Não,1,0,1,0,0,0,1,1,-26.97810055,-52.58793175,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
6701.0,2017-01-25,quarta-feira,17:20:00,SC,282,593.5,SAUDADES,Falta de Atenção à Condução,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,2,0,0,0,1,1,0,2,-26.8268539,-53.10770094,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,2017
6856.0,2017-01-26,quinta-feira,14:30:00,SC,282,498.8,XANXERE,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Nublado,Simples,Reta,Não,2,0,0,0,2,0,0,2,-26.88012444,-52.35560417,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
7004.0,2017-01-27,sexta-feira,03:20:00,SC,282,397.0,JOACABA,Não guardar distância de segurança,Colisão lateral,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Simples,Declive,Não,3,0,0,0,2,1,0,3,-27.1364,-51.6239,SPRF-SC,DEL07-SC,UOP05-DEL07-SC,2017
7076.0,2017-01-27,sexta-feira,09:00:00,SC,282,502.8,XANXERE,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Declive;Rotatória,Sim,2,0,1,0,0,2,1,3,-26.88546895,-52.39554495,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
7451.0,2017-01-28,sábado,18:00:00,SC,282,174.0,BOCAINA DO SUL,Falta de Atenção à Condução,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Chuva,Simples,Curva,Não,2,0,0,0,2,0,0,2,-27.74326149,-49.88623917,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2017
7977.0,2017-01-30,segunda-feira,17:15:00,SC,282,119.4,BOM RETIRO,Condutor Dormindo,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,4,0,1,0,3,0,1,3,-27.78771971,-49.41744436,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2017
8079.0,2017-01-31,terça-feira,07:50:00,SC,282,520.7,XAXIM,Falta de Atenção à Condução,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Rotatória,Sim,2,0,0,0,2,0,0,2,-26.94944471,-52.52918333,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
8164.0,2017-01-31,terça-feira,14:40:00,SC,282,193.0,LAGES,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Chuva,Simples,Reta,Não,3,0,0,0,1,2,0,3,-27.7433,-50.0585,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2017
8229.0,2017-01-31,terça-feira,16:17:00,SC,282,632.4,DESCANSO,Velocidade Incompatível,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Chuva,Simples,Curva,Não,4,0,0,0,4,0,0,1,-26.82427858,-53.4137549,SPRF-SC,DEL07-SC,UOP03-DEL07-SC,2017
8239.0,2017-01-31,terça-feira,16:50:00,SC,282,532.5,CORDILHEIRA ALTA,Falta de Atenção à Condução,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Chuva,Simples,Aclive,Não,2,0,0,0,1,2,0,3,-26.99624002,-52.62038112,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
8243.0,2017-01-31,terça-feira,17:55:00,SC,282,531.5,CORDILHEIRA ALTA,Falta de Atenção à Condução,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Chuva,Simples,Curva,Sim,4,0,0,0,3,1,0,4,-26.99653805,-52.61335909,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
8273.0,2017-01-31,terça-feira,21:00:00,SC,282,629.2,DESCANSO,Velocidade Incompatível,Saída de leito carroçável,Sem Vítimas,Plena Noite,Crescente,Chuva,Simples,Curva,Não,1,0,0,0,1,0,0,1,-26.82161971,-53.38359833,SPRF-SC,DEL07-SC,UOP03-DEL07-SC,2017
8563.0,2017-02-02,quinta-feira,08:15:00,SC,282,215.0,LAGES,Ingestão de Álcool,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Nublado,Simples,Interseção de Vias,Sim,4,0,0,0,1,3,0,3,-27.79070003,-50.27406958,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2017
8798.0,2017-02-03,sexta-feira,06:30:00,SC,282,463.1,PONTE SERRADA,Condutor Dormindo,Colisão traseira,Com Vítimas Feridas,Amanhecer,Crescente,Céu Claro,Simples,Reta,Sim,2,0,1,0,1,0,1,2,-26.8605,-51.9107,SPRF-SC,DEL07-SC,UOP04-DEL07-SC,2017
9510.0,2017-02-05,domingo,12:45:00,SC,282,305.5,VARGEM,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,Não,2,0,0,1,0,1,1,2,-27.49365405,-50.97930908,SPRF-SC,DEL07-SC,UOP06-DEL07-SC,2017
9875.0,2017-02-06,segunda-feira,18:20:00,SC,282,190.0,LAGES,Sinalização da via insuficiente ou inadequada,Engavetamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,6,0,0,1,5,0,1,3,-27.7372,-50.0303,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2017
10799.0,2017-02-06,segunda-feira,10:10:00,SC,282,527.9,CORDILHEIRA ALTA,Defeito Mecânico no Veículo,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Curva,Não,1,0,0,0,1,0,0,1,-26.98664158,-52.60631561,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
11060.0,2017-02-11,sábado,07:00:00,SC,282,564.1,NOVA ERECHIM,Ultrapassagem Indevida,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Reta,Não,4,0,1,0,1,2,1,3,-26.90016025,-52.871832,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,2017
11237.0,2017-02-11,sábado,18:15:00,SC,282,538.0,CHAPECO,Ingestão de Álcool,Colisão frontal,Sem Vítimas,Pleno dia,Crescente,Nublado,Simples,Reta,Não,3,0,0,0,2,1,0,3,-26.9963,-52.6763,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
11360.0,2017-02-11,sábado,18:55:00,SC,282,125.2,LAGES,Condutor Dormindo,Colisão frontal,Com Vítimas Fatais,Anoitecer,Decrescente,Chuva,Simples,Reta,Não,3,1,1,0,1,0,1,2,-27.8116975,-50.3517217,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2017
11375.0,2017-02-12,domingo,08:10:00,SC,282,82.0,ALFREDO WAGNER,Velocidade Incompatível,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Nevoeiro/Neblina,Simples,Curva,Não,3,0,0,0,1,2,0,3,-27.6619,-49.1783,SPRF-SC,DEL01-SC,UOP03-DEL01-SC,2017
11611.0,2017-02-13,segunda-feira,03:20:00,SC,282,21.0,PALHOCA,Velocidade Incompatível,Colisão com objeto estático,Sem Vítimas,Plena Noite,Crescente,Chuva,Simples,Curva,Sim,1,0,0,0,1,0,0,1,-27.68820707,-48.72625887,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2017
12311.0,2017-02-15,quarta-feira,21:20:00,SC,282,501.3,XANXERE,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Fatais,Plena Noite,Crescente,Nublado,Dupla,Rotatória,Sim,5,1,0,1,1,2,1,4,-26.8838758,-52.40580114,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
12388.0,2017-02-16,quinta-feira,10:10:00,SC,282,1.8,FLORIANOPOLIS,Falta de Atenção à Condução,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-27.60309658,-48.58719809,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2017
12412.0,2017-02-16,quinta-feira,10:15:00,SC,282,534.8,CHAPECO,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Viaduto,Não,3,0,1,0,1,1,1,3,-26.99922263,-52.64599085,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
12854.0,2017-02-17,sexta-feira,16:20:00,SC,282,189.5,BOCAINA DO SUL,Falta de Atenção à Condução,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Garoa/Chuvisco,Simples,Em Obras,Não,2,0,0,0,2,0,0,2,-27.7373,-50.0204,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2017
12895.0,2017-02-18,sábado,04:50:00,SC,282,388.0,JOACABA,Falta de Atenção à Condução,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Reta,Sim,2,0,0,1,1,0,1,2,-27.17989807,-51.53465509,SPRF-SC,DEL07-SC,UOP05-DEL07-SC,2017
13595.0,2017-02-20,segunda-feira,11:30:00,SC,282,535.2,CHAPECO,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Interseção de Vias,Sim,2,0,1,0,0,1,1,2,-26.99937205,-52.64588892,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
13802.0,2017-02-21,terça-feira,12:53:00,SC,282,511.9,XANXERE,Falta de Atenção à Condução,Tombamento,Sem Vítimas,Pleno dia,Decrescente,Sol,Simples,Reta,Não,2,0,0,0,1,1,0,2,-26.9160425,-52.49043521,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
14024.0,2017-02-22,quarta-feira,14:00:00,SC,282,156.0,BOM RETIRO,Falta de Atenção à Condução,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,0,2,0,0,2,-27.7492,-49.7124,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2017
14130.0,2017-02-22,quarta-feira,14:30:00,SC,282,455.2,PONTE SERRADA,Ingestão de Álcool,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,0,1,0,1,0,1,2,-26.89403782,-51.97980523,SPRF-SC,DEL07-SC,UOP04-DEL07-SC,2017
14225.0,2017-02-22,quarta-feira,00:05:00,SC,282,271.2,SAO JOSE DO CERRITO,Condutor Dormindo,Tombamento,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,1,0,0,0,1,0,0,1,-27.61418916,-50.71135238,SPRF-SC,DEL05-SC,UOP02-DEL05-SC,2017
14362.0,2017-02-23,quinta-feira,19:00:00,SC,282,111.0,ALFREDO WAGNER,Pista Escorregadia,Colisão transversal,Com Vítimas Fatais,Plena Noite,Crescente,Nublado,Simples,Curva,Não,3,1,1,0,1,0,1,2,-27.7336,-49.3672,SPRF-SC,DEL01-SC,UOP03-DEL01-SC,2017
14516.0,2017-02-24,sexta-feira,08:50:00,SC,282,502.4,XANXERE,Falta de Atenção à Condução,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Rotatória,Sim,2,0,0,0,2,0,0,2,-26.88479256,-52.391873,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
14592.0,2017-02-24,sexta-feira,11:00:00,SC,282,244.9,SAO JOSE DO CERRITO,Condutor Dormindo,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Não,2,0,1,0,1,0,1,2,-27.73003349,-50.52165985,SPRF-SC,DEL05-SC,UOP02-DEL05-SC,2017
14598.0,2017-02-24,sexta-feira,14:40:00,SC,282,22.4,PALHOCA,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Nublado,Simples,Reta,Sim,3,0,0,0,3,0,0,3,-27.68809673,-48.7329157,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2017
15215.0,2017-02-25,sábado,18:00:00,SC,282,533.2,CHAPECO,Falta de Atenção à Condução,Saída de leito carroçável,Sem Vítimas,Anoitecer,Crescente,Céu Claro,Simples,Aclive;Curva,Não,4,0,0,0,1,4,0,4,-27.0968,-52.6186,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
15740.0,2017-02-27,segunda-feira,16:30:00,SC,282,590.0,SAUDADES,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,4,0,2,0,1,1,2,3,-26.8277,-53.0776,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,2017
15800.0,2017-02-27,segunda-feira,23:25:00,SC,282,515.9,XAXIM,Condutor Dormindo,Tombamento,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,1,0,0,0,1,0,0,1,-26.94418977,-52.50873306,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
15976.0,2017-02-28,terça-feira,14:10:00,SC,282,454.0,PONTE SERRADA,Condutor Dormindo,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Não,3,0,1,1,0,1,2,2,-26.8885,-51.9915,SPRF-SC,DEL07-SC,UOP04-DEL07-SC,2017
16251.0,2017-03-01,quarta-feira,15:33:00,SC,282,601.7,MARAVILHA,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Interseção de Vias,Não,3,0,3,0,0,0,3,2,-26.80560529,-53.18070414,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,2017
16323.0,2017-03-01,quarta-feira,17:20:00,SC,282,564.5,NOVA ERECHIM,Não guardar distância de segurança,Engavetamento,Com Vítimas Feridas,Anoitecer,Decrescente,Chuva,Simples,Curva;Declive,Não,4,0,0,1,3,0,1,3,-26.91012,-52.86577,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,2017
16355.0,2017-03-02,quinta-feira,07:35:00,SC,282,221.0,LAGES,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,2,1,0,0,1,0,0,2,-27.794,-50.3337,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2017
16775.0,2017-03-03,sexta-feira,18:20:00,SC,282,501.7,XANXERE,Falta de Atenção do Pedestre,Atropelamento de Pedestre,Com Vítimas Fatais,Anoitecer,Crescente,Nublado,Dupla,Reta,Sim,2,1,0,0,1,0,0,2,-26.88477695,-52.41006976,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
16814.0,2017-03-03,sexta-feira,21:40:00,SC,282,99.0,ALFREDO WAGNER,Velocidade Incompatível,Colisão lateral,Sem Vítimas,Plena Noite,Crescente,Nublado,Simples,Curva,Não,2,0,0,0,2,0,0,2,-27.70035724,-49.28770507,SPRF-SC,DEL01-SC,UOP03-DEL01-SC,2017
17137.0,2017-03-05,domingo,05:00:00,SC,282,512.4,XAXIM,Defeito Mecânico no Veículo,Saída de leito carroçável,Sem Vítimas,Plena Noite,Decrescente,Nevoeiro/Neblina,Simples,Reta,Não,1,0,0,0,1,0,0,1,-26.91854954,-52.49404907,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
17701.0,2017-03-07,terça-feira,10:10:00,SC,282,213.7,LAGES,Não guardar distância de segurança,Engavetamento,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,4,0,0,0,3,2,0,5,-27.78748717,-50.26764125,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2017
18039.0,2017-03-08,quarta-feira,17:20:00,SC,282,541.2,CHAPECO,Não guardar distância de segurança,Engavetamento,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,5,0,0,0,4,1,0,5,-26.99780303,-52.69830197,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
18193.0,2017-01-07,sábado,01:15:00,SC,282,581.7,PINHALZINHO,Desobediência às normas de trânsito pelo condutor,Colisão frontal,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,5,2,0,2,1,0,2,3,-26.82685689,-53.00197363,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,2017
18267.0,2017-03-09,quinta-feira,16:00:00,SC,282,210.0,LAGES,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Aclive,Não,4,0,0,0,3,3,0,6,-27.7775,-50.2254,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2017
18321.0,2017-03-09,quinta-feira,16:00:00,SC,282,46.2,AGUAS MORNAS,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Declive;Reta,Não,1,0,1,0,0,0,1,1,-27.72186608,-48.92863423,SPRF-SC,DEL01-SC,UOP03-DEL01-SC,2017
18443.0,2017-02-22,quarta-feira,21:00:00,SC,282,629.0,IRACEMINHA,Pista Escorregadia,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Simples,Declive,Não,3,0,1,1,1,0,2,2,-26.82045073,-53.37811321,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,2017
18848.0,2017-03-11,sábado,10:20:00,SC,282,552.7,NOVA ITABERABA,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Curva;Declive,Não,1,0,1,0,0,0,1,1,-26.94147707,-52.78822179,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
19871.0,2017-03-15,quarta-feira,09:00:00,SC,282,491.1,FAXINAL DOS GUEDES,Defeito Mecânico no Veículo,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Não,3,0,0,1,2,0,1,1,-26.87034634,-52.30804104,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
20385.0,2017-03-17,sexta-feira,08:00:00,SC,480,127.0,CHAPECO,Sinalização da via insuficiente ou inadequada,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Viaduto,Não,3,0,2,0,1,0,2,2,-27.02777978,-52.63411403,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
20824.0,2017-03-18,sábado,16:10:00,SC,282,342.3,CAMPOS NOVOS,Falta de Atenção à Condução,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Rotatória,Sim,4,0,0,1,2,1,1,3,-27.39089242,-51.21642172,SPRF-SC,DEL07-SC,UOP06-DEL07-SC,2017
21180.0,2017-03-19,domingo,15:40:00,SC,282,25.2,SANTO AMARO DA IMPERATRIZ,Falta de Atenção à Condução,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Reta,Não,5,0,3,0,2,0,3,3,-27.67889292,-48.75638795,SPRF-SC,DEL01-SC,UOP03-DEL01-SC,2017
21412.0,2017-03-20,segunda-feira,12:20:00,SC,282,506.9,XANXERE,Velocidade Incompatível,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Interseção de Vias,Não,3,0,0,0,2,4,0,6,-26.88563641,-52.4356842,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2017
21764.0,2017-03-21,terça-feira,15:30:00,SC,282,244.9,SAO JOSE DO CERRITO,Carga excessiva e/ou mal acondicionada,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,2,0,0,0,2,0,0,2,-27.72834307,-50.52157402,SPRF-SC,DEL05-SC,UOP02-DEL05-SC,2017
